name,url
kodim01,http://r0k.us/graphics/kodak/kodak/kodim01.png
kodim02,http://r0k.us/graphics/kodak/kodak/kodim02.png
kodim03,http://r0k.us/graphics/kodak/kodak/kodim03.png
kodim04,http://r0k.us/graphics/kodak/kodak/kodim04.png
kodim05,http://r0k.us/graphics/kodak/kodak/kodim05.png
kodim06,http://r0k.us/graphics/kodak/kodak/kodim06.png
kodim07,http://r0k.us/graphics/kodak/kodak/kodim07.png
kodim08,http://r0k.us/graphics/kodak/kodak/kodim08.png
kodim09,http://r0k.us/graphics/kodak/kodak/kodim09.png
kodim10,http://r0k.us/graphics/kodak/kodak/kodim10.png
kodim11,http://r0k.us/graphics/kodak/kodak/kodim11.png
kodim12,http://r0k.us/graphics/kodak/kodak/kodim12.png
kodim13,http://r0k.us/graphics/kodak/kodak/kodim13.png
kodim14,http://r0k.us/graphics/kodak/kodak/kodim14.png
kodim15,http://r0k.us/graphics/kodak/kodak/kodim15.png
kodim16,http://r0k.us/graphics/kodak/kodak/kodim16.png
kodim17,http://r0k.us/graphics/kodak/kodak/kodim17.png
kodim18,http://r0k.us/graphics/kodak/kodak/kodim18.png
kodim19,http://r0k.us/graphics/kodak/kodak/kodim19.png
kodim20,http://r0k.us/graphics/kodak/kodak/kodim20.png
kodim21,http://r0k.us/graphics/kodak/kodak/kodim21.png
kodim22,http://r0k.us/graphics/kodak/kodak/kodim22.png
kodim23,http://r0k.us/graphics/kodak/kodak/kodim23.png
kodim24,http://r0k.us/graphics/kodak/kodak/kodim24.png
